Designator,Mid X,Mid Y,Layer,Rotation
B1,61.8,19.3,B,180
BAT1,36.7,30.6,B,180
C3,99,30.4,B,90
C4,86.3,39.3,B,0
C5,86.3,30.8,B,0
C6,86.3,29.6,B,0
C7,72.2,38,B,180
C8,77.3,27.5,B,270
C9,78.7,27.5,B,90
C10,67.3,23.2,B,270
C11,66,37.7,B,270
C13,18,37.2403,B,270
C15,23.5,32.6,B,90
C16,15.616,41.4,B,270
C19,19.5,32.4,B,90
C22,21.6,32.4,B,90
C23,103.9,30.4,B,90
D1,53.4,35.3,T,0
D2,51.8,25.9,T,0
D3,80.7,42.3,B,90
D4,82.1,42.3,B,90
D5,86.1,42.3,B,90
D7,21.4,41.4,B,180
D8,61.8,37.8,B,0
D9,61.8,39.9,B,0
D10,61.8,23.2,B,180
F2,11.4,40.4,B,270
J1,52.5492,41.4,B,180
J3,7.5,40.3,B,270
L1,21.4,37.2403,B,90
L2,74.8,28.1,B,180
L3,74.8,26.3,B,180
MH1,101.7,3.6,T,0
MH2,3.6,51.3,T,0
MH3,3.6,3.6,T,0
MH4,101.7,51.2,T,0
Q1,88.6,32.4,B,270
Q2,86.4,32.4,B,270
Q3,72.8,30.2,B,90
R1,93.9,40.9,B,90
R2,92.6,40.9,B,90
R5,50.1,27.5,B,180
R6,50.1,35.3,B,180
R8,79.3,42.7,B,270
R9,86.3,34,B,180
R10,83.5,42.7,B,270
R12,84.7,42.7,B,270
R13,67.3,37.7,B,90
R14,68.8,37.7,B,90
R15,66,23.2,B,90
R19,13.3,39,B,90
R20,14.7,33.6,B,270
R22,13.3,33.6,B,90
R23,102.7,30.4,B,270
SW1,24.2,6.7,T,180
SW2,52.5492,6.7,T,180
SW3,81.1,6.7,T,180
SW4,103.5,23.9,B,270
TP1,25.3,33.3,B,0
U2,12.1,30.6,T,0
U3,36.4,30.6,T,0
U4,68.9,30.6,T,0
U5,93.2,30.6,T,0
U7,95.8,35.7,B,180
U9,64.1,30.5,B,0
U10,15.616,37.2403,B,0
U12,79.5,35,B,0
U13,103.1,35.7,B,90
X1,81.1,27.7,B,0
